Victim_ID,Name,Age,Gender,State,District,Phone,Disaster_ID,Camp_ID,Medical_Status
VIC0001,Sara Kumar,13,Female,Tamil Nadu,District_A,9636877058,DIS037,CAMP037,Minor Injuries
VIC0002,Anika Yadav,70,Male,Odisha,District_C,9192497045,DIS028,CAMP073,Minor Injuries
VIC0003,Krishna Menon,68,Male,Maharashtra,District_D,9926841017,DIS013,CAMP051,Healthy
VIC0004,Pooja Menon,39,Female,Maharashtra,District_A,9431651343,DIS002,CAMP084,Minor Injuries
VIC0005,Raj Reddy,78,Male,Karnataka,District_D,9835868480,DIS044,CAMP024,Healthy
VIC0006,Isha Yadav,45,Female,Uttar Pradesh,District_B,9699353631,DIS048,CAMP045,Critical
VIC0007,Sneha Verma,3,Male,West Bengal,District_C,9226678191,DIS011,CAMP029,Serious Injuries
VIC0008,Krishna Kumar,39,Female,Tamil Nadu,District_A,9881336074,DIS036,CAMP085,Under Treatment
VIC0009,Anvi Desai,70,Male,Tamil Nadu,District_D,9522256151,DIS030,CAMP095,Serious Injuries
VIC0010,Myra Mehta,4,Female,Maharashtra,District_D,9175665309,DIS050,CAMP096,Under Treatment
VIC0011,Pranav Singh,47,Female,Uttar Pradesh,District_D,9543998702,DIS025,CAMP056,Serious Injuries
VIC0012,Krishna Rao,19,Male,Uttar Pradesh,District_C,9694160182,DIS031,CAMP049,Minor Injuries
VIC0013,Riya Nair,12,Female,Gujarat,District_A,9103351011,DIS037,CAMP086,Serious Injuries
VIC0014,Arjun Reddy,83,Male,Karnataka,District_D,9877188493,DIS041,CAMP044,Minor Injuries
VIC0015,Pranav Joshi,62,Male,Rajasthan,District_B,9941023130,DIS014,CAMP067,Minor Injuries
VIC0016,Isha Yadav,7,Male,Odisha,District_B,9787347091,DIS030,CAMP030,Minor Injuries
VIC0017,Vivaan Gupta,37,Male,Odisha,District_A,9584622814,DIS035,CAMP067,Minor Injuries
VIC0018,Pooja Nair,26,Female,Uttar Pradesh,District_D,9214752054,DIS050,CAMP007,Minor Injuries
VIC0019,Aarav Menon,61,Female,Bihar,District_B,9522467854,DIS049,CAMP024,Critical
VIC0020,Riya Shah,36,Female,West Bengal,District_A,9381830738,DIS017,CAMP027,Minor Injuries
VIC0021,Aditya Gupta,35,Male,Gujarat,District_C,9589019333,DIS018,CAMP044,Serious Injuries
VIC0022,Pranav Reddy,49,Male,Odisha,District_A,9233702414,DIS010,CAMP026,Serious Injuries
VIC0023,Sana Reddy,24,Male,Uttar Pradesh,District_C,9475690875,DIS049,CAMP044,Under Treatment
VIC0024,Krishna Shah,13,Male,Kerala,District_D,9142673819,DIS026,CAMP080,Minor Injuries
VIC0025,Ishika Verma,14,Male,Gujarat,District_A,9660622236,DIS010,CAMP052,Healthy
VIC0026,Raj Patel,73,Female,Tamil Nadu,District_A,9314151662,DIS006,CAMP071,Serious Injuries
VIC0027,Sanjay Singh,62,Male,Odisha,District_C,9896869402,DIS008,CAMP056,Healthy
VIC0028,Shaurya Patel,55,Male,West Bengal,District_C,9918258687,DIS022,CAMP020,Critical
VIC0029,Ishika Reddy,64,Female,Odisha,District_C,9539580466,DIS007,CAMP092,Critical
VIC0030,Dhruv Yadav,55,Male,Karnataka,District_D,9416923432,DIS045,CAMP094,Serious Injuries
VIC0031,Dhruv Gupta,7,Female,Odisha,District_A,9207355690,DIS040,CAMP004,Under Treatment
VIC0032,Sara Patel,57,Male,Bihar,District_B,9121773352,DIS028,CAMP039,Minor Injuries
VIC0033,Shaurya Singh,41,Female,Rajasthan,District_A,9929478534,DIS042,CAMP095,Critical
VIC0034,Sunita Rao,40,Male,Uttar Pradesh,District_B,9330058116,DIS037,CAMP079,Minor Injuries
VIC0035,Sunita Kumar,41,Female,Gujarat,District_A,9550712931,DIS044,CAMP048,Minor Injuries
